collision_id,crash_date,crash_time,contributing_factor_vehicle_1,contributing_factor_vehicle_2,number_of_persons_injured,number_of_persons_killed,vehicle_type_code1
4456576,2021-07-02T00:00:00.000,14:00,Driver Inattention/Distraction,Unspecified,1,0,Unspecified
4456134,2021-09-11T00:00:00.000,23:20,Following Too Closely,Unspecified,1,0,Sedan
4456583,2021-07-08T00:00:00.000,12:25,Unspecified,Unspecified,1,0,Sedan
4456605,2021-07-08T00:00:00.000,15:15,Passing Too Closely,Unspecified,0,0,Sedan
4456699,2021-07-09T00:00:00.000,12:22,Failure to Yield Right-of-Way,Unspecified,0,0,Bus
4456536,2021-09-09T00:00:00.000,15:15,Unsafe Speed,Unspecified,0,0,Pick-up Truck
4456650,2021-07-09T00:00:00.000,3:25,Traffic Control Disregarded,Unspecified,0,0,Sedan
4456752,2021-09-11T00:00:00.000,2:05,Animals Action,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4456637,2021-07-09T00:00:00.000,0:00,Passing Too Closely,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4456769,2021-09-11T00:00:00.000,15:30,Driver Inattention/Distraction,Unspecified,0,0,Sedan
4456786,2021-09-10T00:00:00.000,21:27,Driver Inattention/Distraction,Unspecified,2,0,Sedan
4456798,2021-09-08T00:00:00.000,10:10,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Failure to Yield Right-of-Way,1,0,Sedan
4456410,2021-09-11T00:00:00.000,10:00,Reaction to Uninvolved Vehicle,Unspecified,1,0,Motorcycle
4455912,2021-09-11T00:00:00.000,7:58,Driver Inattention/Distraction,Following Too Closely,0,0,Sedan
4455917,2021-09-11T00:00:00.000,16:25,Driver Inattention/Distraction,Driver Inattention/Distraction,0,0,Taxi
4136992,2019-05-21T00:00:00.000,22:50,Passing or Lane Usage Improper,Unspecified,0,0,�MBU
4277087,2020-01-21T00:00:00.000,15:49,Driver Inattention/Distraction,Unspecified,0,0,Sedan
4395664,2021-02-26T00:00:00.000,14:50,Unspecified,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
