unique_id,collision_id,person_type,person_age,person_sex,contributing_factor_1
10248651,4229636,Occupant,48.0,M,
5960392,3432113,Occupant,,,
10249712,4229854,Occupant,45.0,M,
10253391,4229656,Occupant,34.0,M,
10253313,4230996,Occupant,43.0,F,
10254821,4230764,Occupant,34.0,F,
10253520,4230733,Occupant,,U,
10254928,4230588,Occupant,,U,
10254443,4230703,Occupant,56.0,M,
10253970,4230625,Occupant,,U,
10250782,4229731,Occupant,27.0,M,
10254333,4231024,Occupant,34.0,F,
10251608,4230342,Occupant,46.0,M,
10254331,4231024,Occupant,17.0,M,
10253571,4230835,Occupant,30.0,M,
10252883,4231123,Occupant,42.0,M,
10254057,4230979,Occupant,45.0,F,
10254577,4231266,Occupant,34.0,F,
10249010,4229559,Occupant,50.0,F,
10252971,4230913,Occupant,,,
10255168,4230635,Occupant,52.0,M,
10251115,4230410,Occupant,25.0,F,
10254580,4230822,Occupant,24.0,M,
10248866,4229576,Occupant,41.0,M,
10253586,4230737,Occupant,39.0,M,
10253679,4230815,Occupant,,,
10251340,4230018,Occupant,12.0,F,
10250226,4230220,Occupant,,M,
10254789,4230761,Occupant,9.0,F,
10254936,4230866,Occupant,60.0,F,
10251122,4230464,Occupant,53.0,F,
10249206,4230433,Occupant,52.0,M,
10250777,4229740,Occupant,,U,
10273695,4235334,Occupant,,,
10249533,4230512,Occupant,20.0,M,
10249387,4230253,Occupant,28.0,M,
10251004,4229995,Occupant,36.0,M,
10249155,4229631,Occupant,,U,
10250111,4230518,Occupant,31.0,F,
10254320,4231036,Occupant,46.0,F,
10251332,4230006,Occupant,21.0,M,
6341088,3487108,Occupant,,,
10253656,4230814,Occupant,52.0,M,
10254969,4230562,Occupant,35.0,M,
10254301,4231177,Occupant,61.0,F,
10252650,4230675,Occupant,14.0,F,
10249926,4230020,Occupant,35.0,M,
10254292,4224023,Occupant,33.0,F,
10253508,4181179,Occupant,52.0,M,
10249578,4230293,Occupant,,,
10255523,4231167,Occupant,53.0,M,
10247087,4229484,Occupant,31.0,F,
10254017,4230600,Occupant,,M,
10249728,4229904,Occupant,60.0,M,
10249745,4229902,Occupant,32.0,M,
10250919,4230516,Occupant,71.0,M,
10252680,4231243,Occupant,41.0,M,
10253210,4230564,Occupant,46.0,M,
10248956,4229616,Occupant,33.0,F,
10250233,4230220,Occupant,,M,
10253436,4230667,Occupant,5.0,F,
10249291,4230174,Occupant,63.0,F,
10249575,4230293,Occupant,39.0,M,
